Name,ID,Weight
Kosta Perovic,200785,1
Marcus Georges-Hunt,1627875,2
Mark Aguirre,76016,13
Michael Bradley,2214,5
Tom Copa,76446,1
Al Hairston,76915,2
Maalik Wayns,203146,2
Marshall Rogers,78008,1
Ernie Killum,77257,1
Ben Warley,78458,5
Greg Dreiling,1068,10
James Ennis III,203516,8
Brandon Davies,203561,2
John Crotty,180,11
Dijon Thompson,101159,2
Bobby Wilson,78585,4
Bob Harrison,76962,9
Jay Murphy,77670,4
Bruno Caboclo,203998,7
Lester Conner,76431,12
Tracy Moore,929,5
Jon Leuer,202720,8
Vincent Hunter,1626205,1
Bob Armstrong,76061,1
Byron Dinkins,76574,2
Pape Sow,2776,3
Dave Batton,76124,2
Greg Graham,37,5
Russell Lee,77365,3
Dan Godfread,76827,2
Stan Noszka,77735,3
Dick Snyder,78213,13
Greg Anderson,246,10
Vlatko Cancar,1628427,4
Tony Zeno,78643,1
Pops Mensah-Bonsu,200822,4
Maceo Baston,1766,4
Bernard Toone,78356,1
Randy Brown,753,12
Joe McNamee,77559,2
Thanasis Antetokounmpo,203648,6
Stanley Jackson,77109,1
John Konchar,1629723,5
Austin Carr,76348,10
Daniel Anderson,76036,2
Cartier Martin,201858,7
Freddie Crawford,76466,5
Ekpe Udoh,202327,7
Cecil Hankins,76935,2
Eric Money,77627,6
Curtis Rowe,78028,8
Deb Smith,78182,1
Bob Kinney,77277,2
Marcus Webb,78478,1
Jerry West,78497,14
Christian Braun,1631128,2
Dewayne Dedmon,203473,10
Jeff Lamp,77332,6
Anthony Avent,138,6
Armand Cure,76489,1
Khem Birch,203920,6
Charlie Black,76173,3
Jaime Echenique,1630693,1
Harry Davis,76523,2
Okaro White,1627855,3
Mike Woodson,78614,11
Torrey Craig,1628470,7
Isaiah Whitehead,1627785,2
Eric Mobley,211,3
Larry Staverman,78244,5
Melvin Ely,2408,9
Don Ray,77918,1
Mark Madsen,2058,9
De'Andre Hunter,1629631,5
Joel Ayayi,1630555,1
Mark Bradtke,1361,1
Shawn Respert,704,4
Tyronn Lue,1731,11
Leonard Taylor,78301,1
Brice Sensabaugh,1641729,1
Paul Griffin,76889,7
Stan Kimbrough,77261,2
Labradford Smith,78194,3
Sean May,101118,4
Jim Mooney,77631,1
Jeff Halliburton,76923,2
Paul George,202331,14
Hal Crisler,76470,1
